experiment	tube	timepoint	rootID	layerID	segmentID	length_pixel	startDiameter_pixel	endDiameter_pixel	surfaceArea_pixel^2	volume_pixel^3	children	status	statusName
me	T23	1	400	1	4	31.25699921617557	2.6559503078460693	2.6559503078460693	260.80571258981314	173.17175205945549	1	0	LIVING
me	T23	1	400	1	5	18.027756377319946	2.6559503078460693	2.6559503078460693	150.42204838234485	99.87837079209855	1	0	LIVING
me	T23	1	400	1	6	7.615773105863909	2.6559503078460693	2.6559503078460693	63.54535565171236	42.19332645813399	1	0	LIVING
me	T23	1	400	1	7	25.709920264364882	2.6559503078460693	2.6559503078460693	214.52136300099326	142.43951912008643	1	0	LIVING
me	T23	1	400	1	8	21.470910553583888	2.6559503078460693	1.332245111465454	134.57147373905394	69.5176198167307	1	0	LIVING
me	T23	1	400	1	9	18.384776310850235	1.332245111465454	1.332245111465454	76.94711797727183	25.628105607008536	1	0	LIVING
me	T23	1	400	1	10	16.97056274847714	1.332245111465454	1.332245111465454	71.02810890209707	23.656712868007876	0	0	LIVING
me	T23	1	404	1	1	59.405386961116584	1.332245111465454	1.332245111465454	248.633610857957	82.81022868720972	1	0	LIVING
me	T23	1	404	1	2	49.39635614091387	1.332245111465454	1.332245111465454	206.74209897125783	68.85778811644404	1	0	LIVING
me	T23	1	404	1	3	31.906112267087632	1.332245111465454	1.332245111465454	133.53893152144275	44.4766474644247	1	0	LIVING
me	T23	1	404	1	4	40.607881008493905	1.332245111465454	1.332245111465454	169.95906601939458	56.606784078646704	0	0	LIVING
me	T23	1	408	1	1	21.02379604162864	2.6559503078460693	2.6559503078460693	175.42074560830906	116.47719508484973	1	0	LIVING
me	T23	1	408	1	2	29.832867780352597	2.6559503078460693	2.6559503078460693	248.92288239960243	165.2817004841659	1	0	LIVING
me	T23	1	408	1	3	15.652475842498529	2.6559503078460693	2.6559503078460693	130.60291193228454	86.71871048680346	1	0	LIVING
me	T23	1	408	1	4	25.179356624028344	2.6559503078460693	2.6559503078460693	210.09438562753482	139.50006115930515	1	0	LIVING
me	T23	1	408	1	5	54.817880294662984	2.6559503078460693	2.6559503078460693	457.3956774940193	303.70504568140655	1	0	LIVING
me	T23	1	408	1	6	26.019223662515376	2.6559503078460693	2.6559503078460693	217.10216394746874	144.15313887626394	1	0	LIVING
me	T23	1	408	1	7	41.23105625617661	2.6559503078460693	2.6559503078460693	344.0283865176014	228.43057331777013	0	0	LIVING
me	T23	1	412	1	1	40.01249804748511	2.6559503078460693	2.6559503078460693	333.86084165022703	221.67944988054862	0	0	LIVING
me	T23	1	416	1	1	8.06225774829855	2.6559503078460693	2.6559503078460693	67.27078509953708	44.666965314612376	1	0	LIVING
me	T23	1	416	1	2	53.75872022286245	2.6559503078460693	2.6559503078460693	448.5581369687067	297.8370285990054	1	0	LIVING
me	T23	1	416	1	3	45.89117562233506	2.6559503078460693	2.6559503078460693	382.91202162405716	254.24882381144627	1	0	LIVING
